mol_id,pred_seed42,pred_seed123,pred_seed7,pred_seed2024,pred_seed999,ensemble_mean,ensemble_std,true_value,abs_error,has_halogen_Br_I
mobley_9534740,-24.241587,-23.258825,-22.772673,-26.252595,-22.959501,-23.897036,1.433340,-25.470000,1.572964,0
mobley_6239320,-20.973351,-20.691290,-21.713066,-21.299253,-21.954256,-21.326243,0.517798,-18.060000,3.266243,0
mobley_7794077,-13.885550,-14.375385,-14.561767,-14.312382,-14.665662,-14.360149,0.300727,-15.460000,1.099851,0
mobley_7415647,-12.693879,-11.740531,-12.379824,-12.557321,-12.990411,-12.472393,0.466048,-11.950000,0.522393,0
mobley_1728386,-8.936635,-8.694469,-8.746825,-8.905160,-9.220001,-8.900618,0.205836,-11.000000,2.099382,0
mobley_2269032,-9.296826,-9.208723,-9.323603,-9.778697,-9.773049,-9.476180,0.276870,-10.210000,0.733820,0
mobley_2913224,-6.931876,-7.019172,-6.909147,-7.670399,-7.382182,-7.182555,0.332464,-9.940000,2.757445,0
mobley_2659552,-9.439730,-8.622327,-9.009257,-9.183909,-9.574715,-9.165988,0.374982,-9.760000,0.594012,0
mobley_7176290,-9.090693,-9.053411,-9.369786,-9.041379,-9.666284,-9.244311,0.271582,-9.620000,0.375689,0
mobley_2295058,-9.352048,-9.513505,-9.568596,-9.509360,-9.770002,-9.542702,0.150540,-9.510000,0.032702,0
mobley_6055410,-8.486662,-8.836130,-8.958864,-9.854182,-9.070316,-9.041231,0.504513,-9.400000,0.358769,0
mobley_4639255,-10.110086,-10.090256,-10.157976,-10.167681,-10.180896,-10.141379,0.039121,-9.300000,0.841379,0
mobley_1417007,-7.208428,-7.591621,-7.155386,-7.459661,-7.342582,-7.351536,0.179142,-9.010000,1.658464,0
mobley_6115639,-8.515653,-8.065004,-9.317144,-9.356243,-7.509992,-8.552807,0.799455,-8.700000,0.147193,0
mobley_6353617,-7.844979,-7.965288,-7.964290,-7.783240,-8.261084,-7.963776,0.183780,-8.260000,0.296224,0
mobley_2725215,-9.824550,-8.939907,-9.748004,-10.614092,-10.552965,-9.935904,0.685642,-7.980000,1.955904,0
mobley_7039935,-6.478008,-6.433304,-6.543037,-6.181241,-7.086573,-6.544433,0.332636,-7.670000,1.125567,0
mobley_4059279,-7.095966,-7.716882,-7.195519,-7.175536,-6.780889,-7.192958,0.336903,-7.580000,0.387042,0
mobley_951560,-9.141603,-9.697411,-9.449280,-9.518732,-9.182502,-9.397906,0.234004,-7.400000,1.997906,0
mobley_1922649,-8.291383,-8.215813,-8.932203,-9.130357,-8.449185,-8.603788,0.405325,-7.190000,1.413788,0
mobley_8798016,-7.196446,-7.294290,-7.260819,-7.158722,-7.223589,-7.226773,0.053100,-7.000000,0.226773,0
mobley_1858644,-6.549028,-6.328341,-6.441916,-6.293000,-6.667737,-6.456004,0.155363,-6.790000,0.333996,0
mobley_9114381,-7.591211,-7.636463,-7.745657,-7.924575,-7.981128,-7.775807,0.172257,-6.720000,1.055807,0
mobley_5311804,-6.204703,-5.836415,-5.913158,-5.542150,-6.442914,-5.987868,0.346868,-6.620000,0.632132,0
mobley_6743808,-6.214886,-6.296238,-6.446620,-6.346194,-6.608347,-6.382457,0.151634,-6.500000,0.117543,0
mobley_8789864,-8.249357,-8.293121,-8.588686,-8.789184,-8.671006,-8.518271,0.237006,-6.400000,2.118271,0
mobley_7009711,-6.226927,-5.363414,-6.233254,-6.767726,-4.346040,-5.787472,0.950038,-6.270000,0.482528,0
mobley_8789465,-5.929245,-5.773295,-5.853024,-5.800869,-6.555941,-5.982475,0.326033,-6.200000,0.217525,1
mobley_2923700,-5.719179,-5.718649,-5.859216,-5.432397,-6.121950,-5.770278,0.250511,-6.130000,0.359722,0
mobley_4780078,-5.558605,-5.662224,-5.724538,-5.675831,-6.017082,-5.727656,0.172715,-6.010000,0.282344,0
mobley_5467162,-5.680207,-5.735168,-5.511390,-5.176874,-5.807742,-5.582276,0.251583,-5.910000,0.327724,0
mobley_6257907,-6.259274,-6.463918,-6.466728,-6.412983,-6.586410,-6.437863,0.118418,-5.820000,0.617863,0
mobley_7913234,-6.817942,-6.768828,-6.536861,-7.058844,-6.524133,-6.741322,0.221598,-5.730000,1.011322,0
mobley_5518547,-5.619876,-5.567486,-5.778853,-5.825540,-5.859812,-5.730313,0.129328,-5.570000,0.160313,0
mobley_4883284,-5.949131,-5.933732,-6.104350,-6.060008,-6.227114,-6.054867,0.120414,-5.490000,0.564867,0
mobley_5220185,-5.185632,-5.559031,-5.623029,-5.316093,-5.326913,-5.402140,0.182583,-5.450000,0.047860,0
mobley_3359593,-5.899163,-5.970374,-5.883185,-5.939030,-6.181954,-5.974741,0.120754,-5.260000,0.714741,0
mobley_4683624,-5.622916,-5.654869,-5.735009,-5.315499,-6.030553,-5.671769,0.256089,-5.210000,0.461769,0
mobley_1636752,-5.248832,-5.395405,-5.325360,-5.137890,-5.360126,-5.293523,0.102529,-5.100000,0.193523,0
mobley_2310185,-5.160136,-5.246556,-5.224328,-5.263046,-5.149652,-5.208744,0.051176,-5.000000,0.208744,0
mobley_3682850,-4.491678,-4.473167,-4.534196,-4.409763,-4.513663,-4.484493,0.047660,-4.910000,0.425507,0
mobley_1363784,-4.332437,-4.351377,-4.487840,-4.034336,-4.501026,-4.341403,0.188012,-4.840000,0.498597,0
mobley_2837389,-5.502941,-5.761653,-5.788346,-5.139098,-6.054718,-5.649351,0.345705,-4.780000,0.869351,0
mobley_9507933,-4.523609,-4.546339,-4.654659,-4.332323,-4.702313,-4.551849,0.143378,-4.720000,0.168151,0
mobley_296847,-4.343585,-4.763413,-4.787448,-4.628649,-4.828349,-4.670289,0.197390,-4.690000,0.019711,0
mobley_8208692,-3.225993,-3.329274,-3.225442,-3.086465,-3.637493,-3.300933,0.206995,-4.610000,1.309067,0
mobley_4884177,-4.320381,-4.516562,-4.572959,-4.169015,-4.536505,-4.423084,0.172601,-4.590000,0.166916,0
mobley_6714389,-4.800980,-5.090017,-5.193661,-4.976049,-4.918560,-4.995853,0.151935,-4.550000,0.445853,0
mobley_2245668,-4.590388,-4.660125,-4.495728,-4.483938,-4.510424,-4.548121,0.075195,-4.500000,0.048121,0
mobley_5973402,-4.171448,-4.346698,-4.119158,-4.129746,-4.158058,-4.185022,0.092795,-4.420000,0.234978,0
mobley_3546460,-4.294734,-4.380550,-4.336533,-4.253262,-4.276077,-4.308231,0.050667,-4.400000,0.091769,0
mobley_8311303,-3.293182,-3.299860,-3.240887,-3.288333,-3.870206,-3.398494,0.264720,-4.380000,0.981506,0
mobley_9741965,-4.952564,-4.829556,-4.973787,-5.381055,-5.101801,-5.047753,0.209853,-4.290000,0.757753,0
mobley_4603202,-4.165332,-4.409647,-4.002153,-4.538322,-4.085375,-4.240166,0.225738,-4.230000,0.010166,0
mobley_628086,-4.047447,-3.769578,-3.749326,-4.214906,-4.112581,-3.978768,0.209038,-4.160000,0.181232,0
mobley_4620651,-3.278359,-3.177398,-3.243429,-3.355218,-3.421181,-3.295117,0.095282,-4.100000,0.804883,0
mobley_7977115,-4.176212,-4.200891,-4.046945,-4.080787,-3.932484,-4.087464,0.107758,-4.060000,0.027464,0
mobley_2789243,-4.784888,-4.742631,-5.041121,-5.011661,-5.369936,-4.990047,0.250348,-4.010000,0.980047,0
mobley_3968739,-3.741112,-3.699178,-3.713633,-3.768308,-3.927059,-3.769858,0.091785,-3.920000,0.150142,0
